@relation QueryResult

@attribute id numeric
@attribute recurso {tetra:12082434}
@attribute latitud numeric
@attribute longitud numeric
@attribute velocidad numeric
@attribute orientacion numeric
@attribute fecha numeric

@data
3299049916,tetra:12082434,0,0,0,0,2015
3299050549,tetra:12082434,0,0,0,0,2015
3299052438,tetra:12082434,0,0,0,0,2015
3299054866,tetra:12082434,0,0,0,0,2015
3299057173,tetra:12082434,-0.225748,-0.671791,54,45,2015
3299057305,tetra:12082434,-0.225716,-0.671766,54,45,2015
3299057346,tetra:12082434,-0.225695,-0.67175,52,45,2015
3299057383,tetra:12082434,-0.225672,-0.671734,56,45,2015
3299057511,tetra:12082434,-0.225632,-0.67171,56,22,2015
3299057681,tetra:12082434,-0.225605,-0.671695,48,22,2015
3299057855,tetra:12082434,-0.225574,-0.671677,35,45,2015
3299057935,tetra:12082434,-0.225562,-0.671659,33,67,2015
3299057958,tetra:12082434,-0.225548,-0.671654,0,0,2015
3299058053,tetra:12082434,0,0,0,0,2015
3299058155,tetra:12082434,0,0,0,0,2015
3299058297,tetra:12082434,0,0,0,0,2015
3299058374,tetra:12082434,0,0,0,0,2015
3299058514,tetra:12082434,0,0,0,0,2015
3299058637,tetra:12082434,-0.225557,-0.671668,31,247,2015
3299058697,tetra:12082434,0,0,0,0,2015
3299058709,tetra:12082434,-0.225611,-0.6717,48,202,2015
3299058852,tetra:12082434,-0.225653,-0.671723,54,225,2015
3299058959,tetra:12082434,-0.225682,-0.671743,56,225,2015
3299059093,tetra:12082434,-0.225713,-0.671766,59,225,2015
3299059208,tetra:12082434,-0.225743,-0.671789,56,225,2015
3299059450,tetra:12082434,-0.225802,-0.671831,59,202,2015
3299059556,tetra:12082434,-0.225835,-0.671846,48,202,2015
3299059647,tetra:12082434,-0.225854,-0.671865,42,270,2015
3299059692,tetra:12082434,-0.225871,-0.6719,47,247,2015
3299059849,tetra:12082434,-0.225878,-0.671918,33,225,2015
3299059945,tetra:12082434,-0.225893,-0.671941,35,247,2015
