@relation QueryResult

@attribute id numeric
@attribute recurso {tetra:12086044}
@attribute latitud numeric
@attribute longitud numeric
@attribute velocidad numeric
@attribute orientacion numeric
@attribute fecha numeric

@data
3299629458,tetra:12086044,0,0,0,0,2015
3299629924,tetra:12086044,-0.226639,-0.672203,0,0,2015
3299630031,tetra:12086044,-0.226639,-0.672204,0,0,2015
3299630071,tetra:12086044,-0.226639,-0.672204,0,0,2015
3299630131,tetra:12086044,-0.226637,-0.672205,0,0,2015
3299630163,tetra:12086044,-0.226635,-0.672205,5,45,2015
3299630221,tetra:12086044,-0.226626,-0.672202,16,315,2015
3299630337,tetra:12086044,-0.226619,-0.672203,1,45,2015
3299630486,tetra:12086044,-0.226643,-0.672185,42,22,2015
3299630544,tetra:12086044,-0.22661,-0.672186,68,315,2015
3299630609,tetra:12086044,-0.226592,-0.672205,27,315,2015
3299630768,tetra:12086044,-0.226592,-0.672211,33,225,2015
3299630827,tetra:12086044,-0.226598,-0.672215,0,0,2015
3299630920,tetra:12086044,-0.226605,-0.67222,31,247,2015
3299631017,tetra:12086044,-0.226619,-0.672241,37,202,2015
3299631092,tetra:12086044,-0.226648,-0.672257,33,247,2015
3299631154,tetra:12086044,-0.22665,-0.672259,29,225,2015
3299631276,tetra:12086044,-0.22665,-0.672259,29,225,2015
3299631315,tetra:12086044,-0.226664,-0.672271,27,225,2015
3299631322,tetra:12086044,-0.226667,-0.67228,11,270,2015
3299631325,tetra:12086044,-0.226666,-0.672293,24,225,2015
3299631423,tetra:12086044,-0.226666,-0.672299,40,0,2015
3299631474,tetra:12086044,-0.226656,-0.672301,9,0,2015
3299631503,tetra:12086044,-0.226652,-0.672307,18,247,2015
3299631547,tetra:12086044,-0.22666,-0.672315,16,225,2015
3299631585,tetra:12086044,-0.226668,-0.672324,1,270,2015
3299631708,tetra:12086044,-0.226669,-0.672325,0,270,2015
3299631853,tetra:12086044,-0.226671,-0.672326,3,67,2015
3299631932,tetra:12086044,-0.226669,-0.672325,0,0,2015
3299631974,tetra:12086044,-0.226669,-0.672326,0,0,2015
3299632045,tetra:12086044,-0.226669,-0.672326,0,0,2015
3299632215,tetra:12086044,-0.226669,-0.672326,0,0,2015
3299632239,tetra:12086044,-0.22667,-0.672326,0,0,2015
3299632415,tetra:12086044,-0.226671,-0.672326,7,225,2015
3299632477,tetra:12086044,-0.226672,-0.672326,0,0,2015
3299632517,tetra:12086044,0,0,0,0,2015
3299632630,tetra:12086044,-0.226671,-0.672327,0,0,2015
3299632704,tetra:12086044,0,0,0,0,2015
3299632709,tetra:12086044,-0.226673,-0.672325,0,0,2015
3299632749,tetra:12086044,-0.226673,-0.672324,0,0,2015
3299632838,tetra:12086044,-0.226671,-0.672324,0,0,2015
3299632921,tetra:12086044,-0.226671,-0.672324,0,0,2015
3299632960,tetra:12086044,-0.22667,-0.672326,0,0,2015
3299633059,tetra:12086044,-0.22667,-0.672326,0,0,2015
3299633179,tetra:12086044,-0.22667,-0.672328,0,0,2015
3299633278,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299633320,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299633387,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299633517,tetra:12086044,-0.226671,-0.67233,0,0,2015
3299633601,tetra:12086044,-0.226673,-0.672329,0,0,2015
3299633758,tetra:12086044,-0.226673,-0.672328,0,0,2015
3299633784,tetra:12086044,-0.226673,-0.672328,0,0,2015
3299633853,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299633956,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299634034,tetra:12086044,-0.226671,-0.672328,0,0,2015
3299634077,tetra:12086044,-0.226671,-0.672327,0,0,2015
3299634084,tetra:12086044,-0.226671,-0.672327,0,0,2015
3299634095,tetra:12086044,-0.22667,-0.67233,0,0,2015
3299634205,tetra:12086044,-0.22667,-0.67233,0,0,2015
3299634287,tetra:12086044,-0.226671,-0.672331,0,0,2015
3299634330,tetra:12086044,-0.226671,-0.67233,1,90,2015
3299634448,tetra:12086044,-0.226672,-0.67233,0,0,2015
3299634508,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299634643,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299634699,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299634754,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299634786,tetra:12086044,-0.226671,-0.672328,0,0,2015
3299634980,tetra:12086044,-0.226671,-0.672328,0,0,2015
3299635095,tetra:12086044,-0.226671,-0.672327,0,0,2015
3299635158,tetra:12086044,-0.226671,-0.672327,0,0,2015
3299635208,tetra:12086044,-0.226671,-0.672328,0,0,2015
3299635260,tetra:12086044,-0.22667,-0.672328,0,0,2015
3299635406,tetra:12086044,-0.22667,-0.672328,0,0,2015
3299635460,tetra:12086044,-0.22667,-0.672328,0,0,2015
3299635464,tetra:12086044,-0.22667,-0.672327,0,0,2015
3299635470,tetra:12086044,-0.226671,-0.672329,0,0,2015
3299635486,tetra:12086044,-0.226669,-0.672327,0,292,2015
3299635611,tetra:12086044,-0.226669,-0.672327,0,247,2015
3299635694,tetra:12086044,-0.226668,-0.672326,0,67,2015
3299635828,tetra:12086044,-0.226669,-0.672326,0,0,2015
3299635991,tetra:12086044,-0.226669,-0.672326,0,0,2015
3299636050,tetra:12086044,-0.22667,-0.672327,0,0,2015
3299636062,tetra:12086044,-0.226671,-0.672328,3,225,2015
3299636132,tetra:12086044,-0.226681,-0.672336,20,202,2015
3299636232,tetra:12086044,-0.226686,-0.672332,9,22,2015
3299636301,tetra:12086044,-0.226689,-0.672324,5,90,2015
3299636355,tetra:12086044,-0.226695,-0.672304,9,67,2015
3299636484,tetra:12086044,-0.226669,-0.6723,37,0,2015
3299636541,tetra:12086044,-0.226651,-0.672299,29,22,2015
3299636594,tetra:12086044,-0.226656,-0.672287,31,157,2015
3299636702,tetra:12086044,-0.226662,-0.672272,0,180,2015
3299636801,tetra:12086044,-0.226659,-0.672273,0,0,2015
3299636810,tetra:12086044,-0.226659,-0.672273,0,0,2015
3299636821,tetra:12086044,0,0,0,0,2015
3299636853,tetra:12086044,-0.226645,-0.672247,31,45,2015
3299636980,tetra:12086044,-0.226623,-0.672234,12,90,2015
3299637080,tetra:12086044,-0.226632,-0.672222,1,157,2015
3299637248,tetra:12086044,0,0,0,0,2015
3299637309,tetra:12086044,-0.226616,-0.672206,5,45,2015
3299637403,tetra:12086044,-0.226616,-0.672206,0,0,2015
3299637453,tetra:12086044,-0.226616,-0.672206,0,0,2015
3299637506,tetra:12086044,-0.226616,-0.672207,1,270,2015
3299637610,tetra:12086044,-0.226619,-0.672208,0,0,2015
3299637661,tetra:12086044,-0.226618,-0.672208,0,0,2015
